Provider,Name,Date,HN,HS,HN_after_qc,HS_after_qc,HS_after_gapfill
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-01,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-02,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-03,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-04,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-05,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-06,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-07,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-08,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-09,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-10,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-11,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-12,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-13,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-14,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-15,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-16,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-17,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-18,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-19,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-20,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-21,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-22,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-23,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-24,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-25,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-26,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-27,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-28,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-29,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-30,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-01-31,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-01,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-02,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-03,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-04,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-05,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-06,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-07,,110.0,,110.0,110.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-08,,110.0,,110.0,110.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-09,,110.0,,110.0,110.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-10,,113.0,,113.0,113.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-11,,113.0,,113.0,113.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-12,,113.0,,113.0,113.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-13,,110.0,,110.0,110.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-14,,110.0,,110.0,110.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-15,,110.0,,110.0,110.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-16,,145.0,,145.0,145.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-17,,145.0,,145.0,145.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-18,,160.0,,160.0,160.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-19,,185.0,,185.0,185.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-20,,185.0,,185.0,185.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-21,,180.0,,180.0,180.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-22,,180.0,,180.0,180.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-23,,175.0,,175.0,175.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-24,,170.0,,170.0,170.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-25,,166.0,,166.0,166.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-26,,165.0,,165.0,165.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-27,,160.0,,160.0,160.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-02-28,,160.0,,160.0,160.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-01,,160.0,,160.0,160.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-02,,160.0,,160.0,160.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-03,,170.0,,170.0,170.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-04,,171.0,,171.0,171.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-05,,171.0,,171.0,171.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-06,,170.0,,170.0,170.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-07,,170.0,,170.0,170.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-08,,168.0,,168.0,168.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-09,,165.0,,165.0,165.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-10,,160.0,,160.0,160.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-11,,160.0,,160.0,160.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-12,,160.0,,160.0,160.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-13,,155.0,,155.0,155.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-14,,156.0,,156.0,156.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-15,,170.0,,170.0,170.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-16,,200.0,,200.0,200.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-17,,200.0,,200.0,200.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-18,,200.0,,200.0,200.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-19,,250.0,,250.0,250.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-20,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-21,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-22,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-23,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-24,,245.0,,245.0,245.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-25,,240.0,,240.0,240.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-26,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-27,,,,,
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-28,,300.0,,300.0,300.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-29,,300.0,,300.0,300.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-30,,300.0,,300.0,300.0
FR_METEOFRANCE,Les_2_alpes_toura_ne_,1971-03-31,,280.0,,280.0,280.0
