col_de_porte_daily.txt
(    season_year         mae      nmae  season_mean  predicted_mean   pct_error
36         2016   55.086925  0.747754    73.669811      128.601730   74.565032
37         2017   47.721056  0.329722   144.731132      110.254465  -23.821183
38         2018   35.477500  0.246428   143.966981      173.600511   20.583560, np.float64(78.59548598207412), np.float64(0.6039082609279015), np.float64(136.17465208928138), np.float64(167.418725850566), np.float64(30.791190308107407))
serre_chevalier_daily.txt
(    season_year        mae      nmae  season_mean  predicted_mean   pct_error
0          1985  30.472636  0.520354    58.561321       87.192795   48.891442
1          1986  51.488078  1.690487    30.457547       81.310854  166.964552
2          1987  47.222564  1.691910    27.910798       68.832059  146.614440
3          1988  84.054074  6.402969    13.127358       97.108933  639.744655
4          1989  33.365128  2.278070    14.646226       46.909598  220.284536
5          1990  74.961715  2.482719    30.193396       95.233138  215.410487
6          1991  66.904313  2.908883    23.000000       84.860399  268.958258
7          1992  35.412350  3.867810     9.155660       38.314559  318.479474
8          1993  69.178557  1.618926    42.731132       71.046219   66.263368
9          1994  41.626400  0.905851    45.952830       78.643884   71.140457
10         1995  39.406758  0.764727    51.530516       75.304736   46.136195
11         1996  72.389915  1.073193    67.452830       95.003831   40.844840
12         1997  28.813561  0.579112    49.754717       21.551776  -56.683955
13         1998  10.484819  0.436353    24.028302       21.206265  -11.744635
14         1999  13.004653  0.377229    34.474178       24.548283  -28.792262
15         2000  57.521295  0.905309    63.537736        6.016440  -90.530918
16         2001  15.008830  0.888543    16.891509       28.425483   68.282669
17         2002  28.523558  0.573773    49.712264       22.346848  -55.047616
18         2003  44.881375  0.718291    62.483568       17.602193  -71.829085
19         2004  11.096170  0.439781    25.231132       19.935453  -20.988672
20         2005  37.023699  0.753555    49.132075       12.394738  -74.772615
21         2006   9.115791  0.532823    17.108491       21.351346   24.799707
22         2007  21.514986  0.444275    48.427230       33.455995  -30.914910
23         2008  42.220744  0.708301    59.608491       18.798423  -68.463514
24         2009  53.338053  0.850584    62.707547       80.456051   28.303616
25         2010  16.187890  0.483561    33.476415       24.235178  -27.605218
